time,loops,sizehash,timeinselect
0.000997305,3,172,0
0.000997782,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.001517534,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997782,3,172,0
0,3,172,0
0.000996828,3,172,0
0.001994848,3,172,0
0,3,172,0
0.000997543,3,172,0
0.000996828,3,172,0
0,3,172,0
0.00099802,3,172,0
0.00099659,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997782,3,172,0
0.000997066,3,172,0
0.000997066,3,172,0
0.000997782,3,172,0
0.000997543,3,172,0
0.00099659,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997066,3,172,0
0,3,172,0
0.000996828,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997782,3,172,0
0.000996828,3,172,0
0,3,172,0
0.000997305,3,172,0
0,3,172,0
0.000997543,3,172,0
0.001994371,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997066,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997782,3,172,0
0.000996828,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0,3,172,0
0,3,172,0
0.000997543,3,172,0
0.000997543,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000996828,3,172,0
0,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.00099659,3,172,0
0.000996828,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000996828,3,172,0
0.001994848,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000996828,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.001994848,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0.000997543,3,172,0.000997543
0.00099802,3,172,0
0.000997066,3,172,0
0.00099802,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000996828,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0,3,172,0
0,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0.000997782,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0,3,172,0
0.00099802,3,172,0
0.000997066,3,172,0
0.000996828,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.001995325,3,172,0
0.000996828,3,172,0
0,3,172,0
0.00199461,3,172,0
0.000997066,3,172,0
0,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997543,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000996828,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.001995325,3,172,0.000997066
0,3,172,0
0.000997782,3,172,0
0.000997543,3,172,0
0.000997066,3,172,0
0.001994371,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0.001994848,3,172,0
0.001995087,3,172,0
0.000997305,3,172,0
0,3,172,0
0.000996828,3,172,0
0.000997305,3,172,0
0.00199461,3,172,0
0.00099802,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.000997782,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000997782,3,172,0
0.000997305,3,172,0
0.001995325,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0,3,172,0
0,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000996828,3,172,0
0.00199461,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
0.000997066,3,172,0
0.00099802,3,172,0
0.000997066,3,172,0
0.000997305,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0,3,172,0
0.000997066,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997782,3,172,0
0.00099802,3,172,0
0.000997305,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000996828,3,172,0
0.000997543,3,172,0
0.000997305,3,172,0
0.000997305,3,172,0
